x,y,z,u,v,nx,ny,nz
36.70582985,-63.43004292,9.70309828,0.5227,0.6482,0.0,0.0,0.0
37.38026781,-53.57300878,3.99150422,0.5337,0.6414,0.0,0.0,0.0
-30.51630814,-70.8990211,56.58475915,0.2064,0.1118,0.0,0.0,0.0
-40.2762074,-70.49695102,57.48779293,0.193,0.1112,0.0,0.0,0.0
-32.83498828,-73.39381459,51.4534146,0.2062,0.1029,0.0,0.0,0.0
-138.7123536,-37.86511142,10.97540481,0.093,0.4698,0.0,0.0,0.0
-130.62245296,-46.63933622,17.25587509,0.0996,0.485,0.0,0.0,0.0
-132.99554283,-43.39193923,19.11095126,0.094,0.4837,0.0,0.0,0.0
-127.09541125,9.22956053,0.90891274,0.7482,0.3731,0.0,0.0,0.0
-123.69231769,3.43936671,3.69880284,0.7494,0.3812,0.0,0.0,0.0
-121.28343451,7.04660433,1.03364806,0.7436,0.3792,0.0,0.0,0.0
75.57795254,54.13108872,-45.81236225,0.5862,0.6795,0.0,0.0,0.0
73.58116442,56.50027249,-48.76648879,0.581,0.6815,0.0,0.0,0.0
67.69225543,58.89466941,-45.31422205,0.5759,0.6735,0.0,0.0,0.0
85.71036444,-47.96060378,-5.47055375,0.0616,0.6658,0.0,0.0,0.0
82.43527184,-56.9944947,1.66750327,0.0567,0.6799,0.0,0.0,0.0
73.21415006,-46.64774325,-2.7371749,0.0453,0.6648,0.0,0.0,0.0
97.08737338,42.32142714,-74.19463953,0.5931,0.7269,0.0,0.0,0.0
107.63916114,36.38740176,-73.92585257,0.6045,0.735,0.0,0.0,0.0
99.54909394,38.38939273,-79.77937272,0.5935,0.7359,0.0,0.0,0.0
-71.24213095,64.46050266,-61.35890416,0.6372,0.3183,0.0,0.0,0.0
-66.62006591,65.23234714,-66.60456049,0.6309,0.312,0.0,0.0,0.0
-75.68465835,61.01772554,-67.47824105,0.642,0.3091,0.0,0.0,0.0
-107.80404993,1.89076439,-70.19076864,0.4736,0.3091,0.0,0.0,0.0
-107.79578566,1.37836793,-75.57570009,0.4801,0.3104,0.0,0.0,0.0
